index,images
35996577,"[['a bedroom with a large bed sitting on a hard wood floor'], ['the large modern bathroom has grey walls and wood floors'], ['a living room filled with furniture and a kitchen'], ['bedroom with white walls and a black bed']]"
35811033,"[['this is an aerial shot of a small park with many trees'], ['a bunk bed sitting in a bedroom next to a window'], ['a bathroom with a sink and washing machine'], ['a table and chairs in a room with white tile floors'], ['there is a small bedroom with an orange bed'], ['bedroom with window, dresser, table and bed']]"
35731841,"[['an empty room with windows, two doors, and wood flooring'], ['a narrow alley with two garages and a house'], ['a view of the inside of an old house'], ['a living room with some kind of furniture in it']]"
35886765,"[['the small bed is placed in the small bedroom'], ['this living room has a lot of furniture in it'], ['a kitchen that has a tile floor in it'], ['a picture of some stairs some cabinets a staircase'], ['a walkway and buildings in the distance on a sunny day'], ['a table sits on a patio outside']]"
35781137,"[['a very clean and modern kitchen area in this house'], ['a white bathroom with a tub, sink, and window'], ['a white and beige patio with some chairs'], ['a bed room with a neatly made bed'], ['a kitchen with a large table and four chairs']]"
36048491,"[['a kitchen, dining area, and living room are separated by shelves'], ['a bathroom with a large mirror, a counter top and a blue shower curtain'], ['a very clean living room with several tables and chairs'], ['the chaise on the front porch is black and chrome'], ['living room area with furniture, sliding glass doors and hardwood floor'], ['this bedroom has two beds in it']]"
36049101,[['a room with a white and black rug and blue plaque']]
35886249,"[['the bed is clean and made up in the room'], ['a old barn stands on the edge of an open field'], ['a small bathroom with toilet and a bathtub'], ['a house is seen through the grass and shrubs'], ['an empty room with babys crib and wooden crib'], ['this is a view of a bathroom with a mirror']]"
36058309,"[['a bedroom with a bed and a picture frame'], ['a bedroom with a neatly made bed and some drawers'], ['a living room with some furniture and a plant'], ['a clean and modern living room in white colors'], ['the entrance hall in a house with many decorations'], ['the room has a dinning area and dining area']]"
35783101,"[['a photo of a building with a boat on the side of it'], ['a small apartment with a window, a table and two stairs in the street'], ['a bathtub and a sink in a bathroom'], ['there is a room with lots of furniture and wood flooring'], ['an empty lawn in a field surrounded by greenery'], ['a large living room filled with furniture and a flat screen tv']]"
35996465,"[['an empty room with furniture inside of it'], ['the room is furnished and modern in style'], ['a bedroom with bed and wooden paneled walls'], ['two sinks in the restroom with three mirrors and mirrors']]"
35856327,"[['this is a picture of a house and the kitchen'], ['there is a white couch in this room'], ['a living room with blue walls and white furniture'], ['there are many potted plants that can be seen'], ['a blue bedroom with a bed a small desk and tv'], ['a bathroom with a large tub and a sink']]"
35862559,"[['a table and chair in the middle of a kitchen'], ['an attic with vaulted skylights above the bed and cupboard'], ['a dog is sitting next to a pile of wood'], ['the dinning area is clean and empty with many chairs'], ['a bed sitting in a bedroom next to a desk'], ['a big room with a balcony with some stairs']]"
35999115,"[['a bedroom with a bed and dresser next to it'], ['a room with many things on the floor and a staircase'], ['a white room with some wooden stairs'], ['there is a sofa and some tables in this living room'], ['the large open kitchen with many appliances'], ['a small clean kitchen with a stove, sink and refrigerator']]"
35817825,"[['a large white house in a back yard'], ['a patio with several lounge chairs and grills'], ['a picture of an inside room with a bed and a table'], ['the porch and patio are set out under the roof'], ['a bathroom with black and white tile flooring'], ['a room with a bed and large windows']]"
36066565,"[['apartment for sale in st jean with 3 floors and an elevator in the center'], ['a dark empty room with no one in it'], ['two buildings near each other, in a courtyard'], ['an empty room with wood floors and windows']]"
35834045,"[['outdoor lounge room with a glass sliding door leading into the deck'], ['a big pretty pool by the mountains and a swimming'], ['a view of a pool surrounded by greenery and a beach'], ['a white bathroom with a vanity and toilet'], ['there is a house sitting in the middle of the backyard'], ['two chairs and a railing overlooking the water']]"
